id,title,release_year,rating,director,runtime
1,The Shawshank Redemption,1994,9.3,Frank Darabont,142
2,The Godfather,1972,9.2,Francis Ford Coppola,175
3,The Dark Knight,2008,9,Christopher Nolan,152
4,The Godfather Part II,1974,9,Francis Ford Coppola,202
5,12 Angry Men,1957,9,Sidney Lumet,96
6,Schindler's List,1993,9,Steven Spielberg,195
7,The Lord of the Rings: The Return of the King,2003,9,Peter Jackson,201
8,Pulp Fiction,1994,8.9,Quentin Tarantino,154
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,178
10,"The Good, the Bad and the Ugly",1966,8.8,Sergio Leone,178
